factor,lag,valid_ic_days,mean_ic,icir
momentum_20d,0,1191,-0.014329203158054143,-0.06249886037048603
momentum_20d,1,1190,-0.010335652780935435,-0.044228143803731634
momentum_20d,2,1189,-0.009236490812484448,-0.039904899438192226
momentum_20d,3,1188,-0.008535189846033818,-0.03727920039233874
momentum_20d,4,1187,-0.008258827619303487,-0.03622122581141902
momentum_20d,5,1186,-0.004810535679220435,-0.021241457830986216
momentum_20d,10,1181,-0.008335579070164892,-0.037980010812593175
reversal_5d,0,1206,0.021554288824263464,0.10352344998240708
reversal_5d,1,1205,0.012046107672676405,0.058132449502931706
reversal_5d,2,1204,0.00760575377320999,0.03777329781886056
reversal_5d,3,1203,0.005535330368504098,0.027530387680640995
reversal_5d,4,1202,0.0017222460917074084,0.008585150582673534
reversal_5d,5,1201,0.001885202986450559,0.009392922760665643
reversal_5d,10,1196,0.004236678995261083,0.02203829997597456
volatility_20d,0,1191,-0.03175492755531465,-0.12444021643224028
volatility_20d,1,1190,-0.03279713676907474,-0.12809146905880425
volatility_20d,2,1189,-0.03210161809644682,-0.1254114983730792
volatility_20d,3,1188,-0.0312799313014617,-0.12213693597460408
volatility_20d,4,1187,-0.030273859229737774,-0.11806418328756443
volatility_20d,5,1186,-0.029879097385981743,-0.11647371174217358
volatility_20d,10,1181,-0.029474522764772228,-0.11583473769305377
