factor,year,valid_ic_days,mean_ic,icir
momentum_20d,2021,223,-0.010569210528813983,-0.04917796026675795
momentum_20d,2022,242,-0.012584971654269746,-0.0502625865635414
momentum_20d,2023,242,-0.017827104713766122,-0.08405958312138438
momentum_20d,2024,242,-0.0029689942694510457,-0.011835939881093025
momentum_20d,2025,242,-0.027400528591095586,-0.12763777782786648
reversal_5d,2021,238,0.0301083032097151,0.16648390024940427
reversal_5d,2022,242,0.02465862583375007,0.11416064532293173
reversal_5d,2023,242,0.003227574509837868,0.017296721285950417
reversal_5d,2024,242,0.004559551669786533,0.018414646887921885
reversal_5d,2025,242,0.04535877756575589,0.22531862825058369
volatility_20d,2021,223,-0.011563365607989491,-0.05017046942525513
volatility_20d,2022,242,-0.03014408801501877,-0.14071274909444917
volatility_20d,2023,242,-0.04889106851542068,-0.22027271839667958
volatility_20d,2024,242,-0.05024697778138172,-0.17026172309944004
volatility_20d,2025,242,-0.01634384993527841,-0.05475517961967509
